Municipality,Tax Collector,Phone,Millage,Land 1
Allegheny County,John K. Weinstein,412-350-4120,4.7300,
Aleppo Township,Jordan Tax Service,412-835-5243,3.5000,
Aspinwall Borough,Dawn E Eastley,412-781-0213,6.8600,
Avalon Borough,Jordan Tax Service,724-731-2311,9.8300,
Baldwin Borough,Gail Dobson-Mikush,412-884-0803,6.7800,
Baldwin Township,Judith Maffie,412-341-9597,9.8000,
Bell Acres Borough,Gregg Cooper,412-418-4746,4.3200,
Bellevue Borough,Joseph P Nolan,412-766-6164,4.8900,
Ben Avon Borough,Jordan Tax Service,412-835-5243,4.9200,
Ben Avon Heights Borough,Jordan Tax Service,724-731-2300,7.9500,
Bethel Park 3,Jordan Tax Service,412-835-7676,2.7800,
Blawnox Borough,Casey Cunningham,412-499-2086,9.8500,
Brackenridge Borough,Melinda Cattley,724-904-7455,6.2500,
Braddock Borough,David Rosenstraus,412-271-1018,13.6500,
Braddock Hills Borough,Betty Ann Horvath,412-241-5080,8.2050,
Bradford Woods Borough,Jordan Tax Service,724-731-2300,3.3750,
Brentwood Borough,Fay Boland,412-882-5383x1117,10.0000,
Bridgeville Borough,Anne Marie Parisi,412-221-6055,8.2500,
Carnegie Borough,Jordan Tax Service,412-835-5243,7.0000,
Castle Shannon Borough,Eileen L O'Malley,412-885-9260,9.6580,
Chalfant Borough,Carol A. Donahue,412-824-3283,8.9000,
Cheswick Borough 5,Louise Parkhill,724-275-7722,5.8500,
Churchill Borough,Keystone Collections Group,412-241-7113,8.0000,
City of Clairton 1,Howard J Bednar,412-233-8113,33.0000,3.5000
City of Duquesne 1,City of Duquesne,412-466-8545,20.5000,15.5000
City of McKeesport 1,City Treasurer,412-675-5020,20.5000,8.2600
City of Pittsburgh,City of Pittsburgh,412-255-2525,8.0600,
Collier Township,Jordan Tax Service,412-835-5243,4.1000,
Coraopolis Borough,Jordan Tax Service,412-835-5243,12.5000,
Crafton Borough,Jordan Tax Service,412-835-5243,8.5900,
Crescent Township 3,Morgan Withee,724-457-1320,4.9000,
Dormont Borough,Vickie McGurk,412-561-8900,9.9700
Dravosburg Borough,Charles Gross,412-469-0743,7.5500
East Deer Township,Bernadette Paulovich,412-829-7991,4.9000
East McKeesport Borough,Robert Ferrainolo,412-829-7991,9.4000
East Pittsburgh Borough,Patrick Geric,412-823-4046,13.4500
Edgewood Borough,Jordan Tax Service,412-835-5243,7.1850
Edgeworth Borough,Jordan Tax Service,412-835-5243,4.1500
Elizabeth Borough,Robin Schmidt,412-384-7771,10.0000
Elizabeth Township 3,Mary Walos,412-751-2880,3.9260
Emsworth Borough,Laura West,412-734-4714,4.9550
Etna Borough,Karen Tomaszewski,412-781-6417,9.0000
Fawn Township,Margaret Hunkele,724-226-0666,3.0400
Findlay Township,Barbara Coates,724-695-0521,1.6000
Forest Hills Borough,Janet Sullivan,412-351-7348,8.0000
Forward Township,William Firczak,412-384-2321,1.9500
Fox Chapel Borough,Jordan Tax Service,412-345-7962,2.9500
Franklin Park Borough,Kristin Losco,412-364-4115,1.2900
Frazer Township,Debra Bajack,724-224-8971,2.5000
Glassport Borough,Jennifer Bell,412-664-7310,15.4900
Glen Osborne Borough,Jordan Tax Service,724-731-2319,4.9000
Glenfield Borough,Sandra Kuriger,412-741-9473,4.1500
Green Tree Borough,W David Montz,412-921-1110,4.6100
Hampton Township,Jordan Tax Service,724-731-2300,2.9241
Harmar Township,James DiPalma,724-274-4550,3.1500
Harrison Township,Michael D McKechnie,724-226-1393,5.1060
Haysville Borough,Jordan Tax Service,412-835-5243,5.0800
Heidelberg Borough,Nathaniel Jackson,412-276-5653,7.9500
Homestead Borough 5,Alice Paylor-Dais,412-461-1340 x102,13.3300
Indiana Township,Julie Leventry,412-767-5333,3.4700
Ingram Borough,Tax Office,412-922-5877,5.9000
Jefferson Hills Borough,Josephine Lipnicky,412-226-2230,5.6600
Kennedy Township,Mel Weinstein,412-771-3616,2.3500
Kilbuck Township,Jordan Tax Service,412-835-5243,4.9000
Leet Township,Cindy Wanto,724-266-2280,7.7000
Leetsdale Borough,4,Phil Perciavalle,412-741-3195,9.0000
Liberty Borough,Shelley Aquilante,412-896-7408,8.0000
Lincoln Borough,Sharon Jageman,412-751-2655,9.0000
Marshall Township,Charles Carey,724-772-2470,1.4200
McCandless Township,Judith M Wagner,412-364-0616,1.2360
McDonald Borough,2,John B Bracall,412-351-5500,3.3900
McKees Rocks Borough,Tracy Pederson,412-331-2498,9.4000
Millvale Borough,Scott Davis,412-418-6425,9.5000
Monroeville Municipality,Patrick Fulkerson,412-856-3348,4.0000
Moon Township,Catherine Tress,412-299-7446,2.7400
Mount Lebanon,Joseph Senko,412-343-3405,4.9100
Mount Oliver Borough,Tina Carcia,412-431-8107,13.5000
Munhall Borough,Donna Mercuri,412-464-7315,10.7500
Neville Township,Jordan Tax Service,724-731-2300,4.9500
North Braddock Borough,Kathleen M Evanchec,412-351-5500,11.0000
North Fayette Township,Thomas Falcioni,724-693-3116,3.2900
North Versailles Township,Mary Ann Fetsick,412-824-6616,7.7500
O'Hara Township,Jordan Tax Service,412-835-5243,5.0000
Oakdale Borough,Dawn Ostrander,724-693-9397,3.7300
Oakmont Borough,Pa Municipal Tax,412-826-0300,2.1000
Ohio Township,Kristen Pontello,412-528-4858,3.0900
Penn Hills Township,Keystone Collections Group,412-793-7063,6.4440
Pennsbury Village,Patricia Notaro,412-276-6181,6.2000
Pine Township,Jordan Tax Service,724-731-2315,0.9980
Pitcairn Borough,Sally DiRobbio,412-372-3009,9.2500
Pleasant Hills Borough,Linda Fancsali,412-653-6321,7.7500
Plum Borough,Lisa A. Lagnese,412-795-4600,4.7800
Port Vue Borough,Lori DiMarco,412-664-9323,8.4000
Rankin Borough,Sheila Miles,412-271-6605,9.6928
Reserve Township,Jordan Tax Service,724-731-2311,5.4700
Richland Township,Jordan Tax Service,724-731-2315,2.6900
Robinson Township,Michael Pendel,412-788-8120,3.2000
Ross Township,Jordan Tax Service,412-835-5243,2.7000
Rosslyn Farms Borough,Jordan Tax Service,724-731-2300,8.0000
Scott Township,Lisa Riley,412-276-5302,5.1711
Sewickley Borough,Jordan Tax Service,724-731-2319,6.2500
Sewickley Heights Borough,Nathan A. Briggs,412-741-5119,5.5000
Sewickley Hills Borough,Doug Nolfi,412-741-7734,2.8400
Shaler Township,Erin Bartkins,412-486-9700 x224,3.4900
Sharpsburg Borough 3,Patricia Hyatt,412-781-7749,8.2500
South Fayette Township,Kevin P Biber,412-221-8700,4.7300
South Park Township,Lawrence Arrigo,412-833-8292,3.0620
South Versailles Township,Sherry Kahler,412-754-2536,2.9000
Springdale Borough,Deborah Sigmund,724-274-6269,8.2500
Springdale Township,Kathryn Winwood,724-274-4416,6.5000
Stowe Township,Jordan Tax Service,724-731-2311,10.4800
Swissvale Borough,Thomas Barr,412-351-3342,8.0000
Tarentum Borough,Karen Marietti,724-224-1179,5.4800
Thornburg Borough,Jordan Tax Service,724-731-2300,6.6000
Trafford Borough 2,James Kerrigan,412-372-5361,31.5000
Turtle Creek Borough,Richard Smith,412-824-1835,9.5000
Upper St. Clair Township,Jordan Tax Service,412-835-5243,3.8300
Verona Borough,Keystone Collections Group,724-978-0300,9.7000
Versailles Borough,Charisse Richards,412-896-1632,8.0000
Wall Borough,Melissa Swidorsky,412-824-3333,7.2200
West Deer Township,Dorothy Bonovitz,724-265-4250,2.9900
West Elizabeth Borough,Robert N Welty,412-384-7247,4.5500
West Homestead Borough,Lisa Guckes,412-461-1844,8.8000
West Mifflin Borough,Jonathan Hess,412-466-8177,9.9800
West View Borough,Rita A Schwarzmeier,412-931-1633,6.3000
Whitaker Borough,Patricia Pasquiantonio,412-464-1199,10.5000
White Oak Borough,Lisa Pitchford,412-678-0437,8.0000
Whitehall Borough,Kelly Sgattoni,412-881-1644,4.4200
Wilkins Township,George M Porado,412-824-6891,6.1740
Wilkinsburg Borough,Berkheimer Tax,610-588-0965,14.0000
Wilmerding Borough,Frank J. Tylka,412-823-4421,13.0000
